2	타이거슈가 부천점	4
2	테라로사 커피공장 강릉본점	4
2	토크라피	4
2	투파인드피터 고잔점	1
2	티테라피	4
2	페어링룸	4
2	평화다방 여의도점	5
2	포항물회	5
2	푸른솔가든	5
2	프릳츠 도화점	5
2	피쉬맨횟집	5
2	하와이조개	5
2	함덕 안녕제주	2
2	함덕해물라면오빠네	5
2	해피치즈스마일	4
2	허니문하우스	4
2	허디거디 이도점	4
2	호시노 식당	4
2	화덕피자앤떡볶이	4
2	화정맛집민쿡다시마	5
2	1인1잔	4.5
2	448돈까스	4
2	AUFGLET2	5
2	Pres Coffee	5
2	SAAP 연남	4.5
2	간장을품은소라게	5
2	강강술래 상계점	5
2	강민주의들밥	5
2	개성집	4
2	게방식당	4.5
2	경양카츠 군산점	4
2	경양카츠 대전둔산점	3
2	경양카츠 평택비전점	5
2	고기굽는베베	5
2	고이정 보리볏짚초벌구이	5
2	곧은	4
2	그린홀리데이키친	4
2	금화통닭	5
2	김형제고기의철학 창원상남점	4.5
2	낮달커피	4
2	노반타	0.5
2	농장사람들	5
2	다미안	4.5
2	다원식당	4.5
2	달달술집	5
2	대동면옥	4
2	도톰카츠	5
2	동래밀면 본점	5
2	동명정류장	5
2	두산카페	2.5
2	등대샤브샤브칼국수	5
2	또보겠지떡볶이집 붕붕허니비점	5
2	라라면가	5
2	라모스버거	5
2	르브와 종로점	3
2	리셉션	5
2	릴로	5
2	마끼스시	5
2	마노커피하우스	5
2	마또이따	5
2	마호가니 강화점	4
2	맘마미아	4.5
2	매드독스	5
2	메밀로43	1
2	각시보쌈	4
2	갓잇 송리단길점	4
2	고쿠텐 홍대점	4
2	멘야고코로	3.5
2	명천마루	4
3	몬테쿠치나	5
3	미분당 수유점	4
3	미즈컨테이너 강남 이스트	5
3	미진메밀마을	4
3	바나나하루키	4
3	바다뷰제빵소	5
3	바다정원	5
3	바삭 신서귀포점	5
3	백세삼계탕 고양점	5
3	버던트	5
3	베이커리 씨어터	0.5
3	별미곱창	5
3	보슬보슬	3
3	봄의정원	4.5
3	봉순이네흑돼지	1
3	블랙소울클래식	5
3	비스트로주라	4
3	빠레뜨한남 강남CGV점	5
3	사유적가드닝 협재식물원	4.5
3	상무초밥 상무점	5
3	상춘재	2.5
3	서귀당	4.5
3	선우수산	5
3	세러데이아일랜드	4
3	셰프스위트	4.5
3	소나무집초당순두부	3
3	소정식당	3
3	숙성도 노형본점	5
3	쉐이크쉑 서면점	5
3	스시군	0.5
3	스시생선가게	5
3	스시현	0.5
3	스터번	3
